mn day  max   min  precip  DD10    CUMDD10
1  1   6.67 -1.11  0.00   0.00      0.0
1  2   8.33 -1.67  0.00   0.00      0.0
1  3  10.56  1.11  0.00   0.06      0.1
1  4   8.33  1.11  0.37   0.00      0.1
1  5  10.56  5.00  0.08   0.08      0.1
1  6  13.89  2.22  0.07   0.99      1.1
1  7   8.89  2.22  0.01   0.00      1.1
1  8   7.78  4.44  0.37   0.00      1.1
1  9  11.11  5.00  0.05   0.20      1.3
1 10   9.44  4.44  0.41   0.00      1.3
1 11  14.44  9.44  0.34   2.02      3.4
1 12  12.22  8.89  0.12   0.84      4.2
1 13  16.67  4.44  0.01   2.23      6.4
1 14   8.89  3.33  0.01   0.00      6.4
1 15  12.22  1.11  0.05   0.43      6.9
1 16  13.33  5.00  0.00   0.94      7.8
1 17  17.22  4.44  0.27   2.47     10.3
1 18  10.00  5.56  0.26   0.00     10.3
1 19   8.89  3.89  0.04   0.00     10.3
1 20   8.89  3.33  0.10   0.00     10.3
1 21   8.33  6.11  0.10   0.00     10.3
1 22  12.78  2.78  0.23   0.64     10.9
1 23   8.89  3.33  0.38   0.00     10.9
1 24   9.44  4.44  0.32   0.00     10.9
1 25   8.33  2.78  0.24   0.00     10.9
1 26   8.33  2.78  0.12   0.00     10.9
1 27  12.22  5.56  0.07   0.56     11.5
1 28  18.33  8.33  0.00   3.63     15.1
1 29  15.00  7.22  0.20   1.84     16.9
1 30  11.67  4.44  0.02   0.35     17.3
1 31   9.44  3.33  0.01   0.00     17.3
2  1  10.00  4.44  0.00   0.00     17.3
2  2  19.44  7.22  0.01   3.91     21.2
2  3  16.67  8.33  0.01   2.82     24.0
2  4  16.11  6.11  0.00   2.19     26.2
2  5  18.89  5.56  0.00   3.35     29.5
2  6  14.44  2.22  0.01   1.18     30.7
2  7  16.11  2.22  0.00   1.81     32.5
2  8  17.22  2.22  0.00   2.25     34.8
2  9  12.22  6.11  0.00   0.59     35.4
2 10  12.22  0.00  0.01   0.41     35.8
2 11   7.22  0.00  0.01   0.00     35.8
2 12  11.67 -1.67  0.00   0.25     36.0
2 13  12.22 -5.00  0.25   0.34     36.4
2 14  10.56  2.22  0.03   0.06     36.5
2 15  12.22  1.11  0.03   0.43     36.9
2 16  11.67  3.33  0.02   0.32     37.2
2 17  12.22  5.56  0.36   0.56     37.8
2 18   5.56  1.11  0.07   0.00     37.8
2 19   7.78  0.56  0.01   0.00     37.8
2 20   5.56 -1.67  0.08   0.00     37.8
2 21   5.00 -1.11  0.11   0.00     37.8
2 22   7.22 -1.11  0.02   0.00     37.8
2 23   5.56 -5.56  0.25   0.00     37.8
2 24  11.67  2.78  0.25   0.31     38.1
2 25   7.78  2.22  0.36   0.00     38.1
2 26   8.89 -0.56  0.00   0.00     38.1
2 27   8.33 -2.22  0.01   0.00     38.1
2 28   8.33  3.89  0.40   0.00     38.1
3  1   7.22  3.33  0.09   0.00     38.1
3  2  10.56  1.67  0.00   0.06     38.1
3  3  10.56 -0.56  0.04   0.05     38.2
3  4  11.67 -1.67  0.00   0.25     38.5
3  5  15.56  0.56  0.00   1.50     39.9
3  6  14.44 -2.22  0.00   1.00     40.9
3  7  12.22  0.56  0.21   0.42     41.4
3  8  11.11  4.44  0.08   0.20     41.6
3  9  13.33  4.44  0.02   0.90     42.5
3 10  15.56 -0.56  0.00   1.44     43.9
3 11  20.00  2.78  0.00   3.47     47.4
3 12  22.78  1.11  0.38   4.48     51.9
3 13  12.22  6.67  0.18   0.62     52.5
3 14  15.56  2.78  0.04   1.63     54.1
3 15  12.22  0.56  0.00   0.42     54.5
3 16  15.00  0.56  0.00   1.30     55.8
3 17  12.78  3.89  0.00   0.68     56.5
3 18  13.89  2.78  0.02   1.02     57.5
3 19  16.11  0.00  0.00   1.67     59.2
3 20  19.44 -1.11  0.10   2.87     62.1
3 21  12.78  3.33  0.58   0.66     62.7
3 22  11.11  1.67  0.62   0.16     62.9
3 23   5.00  2.22  0.23   0.00     62.9
3 24   8.33  1.67  0.03   0.00     62.9
3 25  12.78  1.11  0.06   0.59     63.5
3 26  11.67  0.00  0.01   0.27     63.7
3 27  14.44  4.44  0.00   1.32     65.1
3 28  18.89  6.11  0.00   3.44     68.5
3 29  17.78  2.22  0.00   2.48     71.0
3 30  19.44  2.78  0.00   3.23     74.2
3 31  19.44  6.11  0.00   3.70     77.9
4  1  12.22  3.33  0.02   0.48     78.4
4  2  15.00  0.56  0.01   1.30     79.7
4  3  13.89 -0.56  0.03   0.88     80.6
4  4  18.33  7.22  0.02   3.38     84.0
4  5  12.22  8.33  0.14   0.76     84.7
4  6  22.78 11.11  0.03   6.94     91.7
4  7  16.11  8.33  1.44   2.56     94.2
4  8  12.78  6.11  0.02   0.80     95.0
4  9  20.00  3.33  0.01   3.54     98.6
4 10  19.44 10.00  0.01   4.72    103.3
4 11  12.78  5.00  0.49   0.73    104.0
4 12  13.33  4.44  0.03   0.90    104.9
4 13  15.00  7.22  0.01   1.84    106.8
4 14  15.00  9.44  0.43   2.30    109.1
4 15  10.56  5.00  0.27   0.08    109.1
4 16   9.44  4.44  0.13   0.00    109.1
4 17  15.56  4.44  0.01   1.77    110.9
4 18  18.89  4.44  0.00   3.19    114.1
4 19  22.22  1.67  0.00   4.30    118.4
4 20  21.67  2.78  0.00   4.20    122.6
4 21  20.00  7.78  0.00   4.30    126.9
4 22  20.56  5.00  0.00   4.02    130.9
4 23  26.11  5.00  0.00   6.61    137.5
4 24  30.56  5.56  0.00   8.87    146.4
4 25  30.56  7.22  0.00   9.30    155.7
4 26  25.00  9.44  0.07   7.27    163.0
4 27  11.67 10.00  0.27   0.83    163.8
4 28  16.67  7.22  0.09   2.60    166.4
4 29  16.67  6.67  0.03   2.51    168.9
4 30  16.11  7.78  0.01   2.45    171.4
5  1  16.11  7.22  0.00   2.35    173.7
5  2  24.44  3.89  0.00   5.63    179.3
5  3  25.00  7.22  0.00   6.58    185.9
5  4  20.00  9.44  0.00   4.78    190.7
5  5  26.11 10.00  0.24   8.06    198.8
5  6  19.44 10.56  0.01   5.00    203.8
5  7  22.78  9.44  0.01   6.16    209.9
5  8  25.00  7.78  0.06   6.73    216.7
5  9  20.56 11.67  0.01   6.11    222.8
5 10  22.22  9.44  0.01   5.88    228.7
5 11  21.11  7.78  0.00   4.84    233.5
5 12  26.67  7.78  0.00   7.55    241.0
5 13  31.67 10.00  0.00  10.83    251.9
5 14  29.44 10.56  0.01  10.00    261.9
5 15  22.78 10.56  0.01   6.67    268.5
5 16  20.00 11.11  0.00   5.56    274.1
5 17  20.56 11.11  0.00   5.83    279.9
5 18  22.78 10.00  0.00   6.39    286.3
5 19  21.67 11.67  0.00   6.67    293.0
5 20  22.78 10.00  0.00   6.39    299.4
5 21  25.56  8.33  0.00   7.17    306.5
5 22  30.00 10.00  0.00  10.00    316.5
5 23  25.56 12.22  0.00   8.89    325.4
5 24  24.44 12.78  0.00   8.61    334.0
5 25  20.00 10.56  0.00   5.28    339.3
5 26  19.44  7.78  0.00   4.03    343.3
5 27  26.67  7.78  0.00   7.55    350.9
5 28  25.56  9.44  0.00   7.54    358.4
5 29  19.44 10.56  0.00   5.00    363.4
5 30  20.56  5.56  0.00   4.12    367.6
5 31  17.78  9.44  0.03   3.67    371.2
6  1  23.89  5.00  0.00   5.57    376.8
6  2  28.89  7.78  0.00   8.64    385.4
6  3  22.78 10.56  0.00   6.67    392.1
6  4  22.22 10.56  0.00   6.39    398.5
6  5  25.00  7.22  0.00   6.58    405.1
6  6  26.67  7.78  0.00   7.55    412.6
6  7  22.78 12.22  0.00   7.50    420.1
6  8  20.56 11.11  0.13   5.83    426.0
6  9  17.22  9.44  0.02   3.40    429.4
6 10  14.44  8.89  0.10   1.88    431.2
6 11  22.22 10.56  0.01   6.39    437.6
6 12  28.89  7.22  0.01   8.48    446.1
6 13  19.44 12.78  0.01   6.11    452.2
6 14  22.22 10.56  0.00   6.39    458.6
6 15  22.22 10.00  0.00   6.11    464.7
6 16  25.00 12.78  0.00   8.89    473.6
6 17  33.33 12.22  0.00  12.78    486.4
6 18  30.00 13.33  0.00  11.67    498.1
6 19  35.00 12.22  0.00  13.61    511.7
6 20  28.89 15.00  0.00  11.94    523.6
6 21  25.56 15.00  0.00  10.28    533.9
6 22  26.11 13.89  0.00  10.00    543.9
6 23  27.78 13.89  0.00  10.83    554.7
6 24  33.89 12.22  0.00  13.06    567.8
6 25  19.44 13.33  0.00   6.39    574.2
